Coin,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalVolumeUSD,AverageTradeSize,WinRate,UniqueTraders
VVV,85,2212.897418,26.034087270588234,9.88,354.29186,-12.59264,213572.86000000002,2512.621882352941,78.82352941176471,2
SAND,180,2117.346978,11.763038766666666,0.0,342.070762,-22.855098,88154.34,489.7463333333333,28.888888888888886,2
HPOS,125,1979.33753,15.83470024,0.0,297.652977,-343.651308,74362.93,594.9034399999999,43.2,2
HBAR,238,1909.508064,8.023143126050421,0.0,293.332094,-7.9398,75989.03,319.2816386554622,44.537815126050425,4
BIGTIME,51,1838.5441700000001,36.049885686274514,0.8103,939.7575,-80.92376,117712.14,2308.081176470588,62.745098039215684,2
PYTH,149,1824.119272,12.242411221476509,0.0,300.296609,-140.915792,419640.75,2816.3808724832215,34.899328859060404,4
APT,104,1715.618465,16.49633139423077,0.0,441.773613,0.0,209950.94,2018.7590384615385,29.807692307692307,4
SCR,32,1612.97536,50.40548,31.60801,340.24025,0.0,49793.18,1556.036875,65.625,1
NTRN,99,1601.759155,16.179385404040403,2.2792,162.3642,-86.351904,248372.3,2508.811111111111,59.59595959595959,2
STX,128,1583.885992,12.3741093125,0.0,303.39152,0.0,173875.01,1358.398515625,41.40625,3
W,588,1570.014745,2.6700931037414963,0.0,61.801137,-0.2232,305683.88,519.8705442176871,34.183673469387756,2
kFLOKI,33,1560.805163,47.29712615151515,7.389296,255.964576,0.0,36310.74,1100.3254545454545,57.57575757575758,2
MANTA,96,1483.648906,15.454676104166666,0.0,573.98221,-4.13336,78103.9,813.5822916666666,46.875,2
BADGER,190,1439.733233,7.577543331578947,0.0,269.882382,-11.39022,153716.13999999998,809.0323157894736,32.631578947368425,2
LINK,345,1421.770894,4.121075055072464,0.0,135.76162,-87.728044,436358.56,1264.8074202898551,41.449275362318836,5
GRASS,201,1253.272989,6.235189,0.621,189.745,-195.741504,156915.52,780.6742288557214,54.22885572139303,7
KAITO,249,1231.689389,4.946543730923694,0.0,706.733664,-5843.04,704731.78,2830.2481124497995,41.76706827309237,6
BNB,152,1212.240972,7.9752695526315796,0.0,250.040925,-26.50785,401792.45,2643.3713815789474,39.473684210526315,6
XAI,8,1074.213807,134.276725875,9.804045,907.2105,0.0,64998.32,8124.79,75.0,1
YGG,34,1025.924646,30.174254294117645,1.8889360000000002,701.27737,0.0,52442.68,1542.4317647058824,58.82352941176471,2
CAKE,58,1022.846751,17.63528881034483,0.0,163.964539,-40.145306,38885.57,670.4408620689655,36.206896551724135,3
BRETT,139,958.287363,6.8941536906474825,6.306,130.805358,-109.721232,143258.18,1030.6343884892085,58.992805755395686,3
GMX,84,699.433714,8.326591833333334,0.0,256.625651,0.0,48812.33,581.0991666666666,46.42857142857143,4
TRX,80,670.1615039999999,8.377018799999998,0.0,229.845254,-10.198826,73744.58,921.8072500000001,13.750000000000002,1
MATIC,38,668.931017,17.603447815789472,0.0,781.09836,-109.827445,231562.53,6093.750789473685,26.31578947368421,1
BLAST,59,632.386224,10.718410576271186,0.0,106.536875,0.0,22402.65,379.70593220338986,37.28813559322034,3
POLYX,14,618.133683,44.15240592857143,16.09632,325.53495,0.0,32669.5,2333.535714285714,92.85714285714286,1
SUSHI,106,605.441925,5.711716273584905,0.0,301.67677,-214.662888,47324.92,446.46150943396225,32.075471698113205,3
PROMPT,27,599.92581,22.219474444444444,15.0241,71.63474,0.0,42600.52,1577.797037037037,96.29629629629629,1
IMX,53,540.2160399999999,10.192755471698112,0.457974,295.89714,-1.3596,11225.06,211.79358490566037,58.490566037735846,4
DYDX,151,539.164485,3.5706257284768212,0.0,210.476541,-4.90688,397233.48,2630.685298013245,19.205298013245034,3
@1,34,496.746238,14.610183470588236,0.0,206.846979,-47.982752,3661.69,107.69676470588236,38.23529411764706,2
MORPHO,40,421.871013,10.546775325,4.130405,77.257096,0.0,69483.86,1737.0965,72.5,2
PIXEL,23,405.89459999999997,17.647591304347824,8.06008,125.4651,-19.65417,34839.78,1514.773043478261,69.56521739130434,1
@74,9,371.633249,41.29258322222222,10.214577,299.941989,0.0,383.36,42.595555555555556,55.55555555555556,5
@125,29,370.264567,12.767743689655173,0.0,341.839603,-96.246567,5731.41,197.63482758620688,31.03448275862069,6
PEOPLE,2,360.646005,180.3230025,180.3230025,360.646005,0.0,1360.49,680.245,50.0,1
PAXG,561,348.466232,0.6211519286987522,0.0,82.445952,-122.02974,1484302.85,2645.8161319073083,36.898395721925134,1
USTC,50,346.69317,6.9338634,0.0,259.617366,-1.333059,10848.34,216.9668,44.0,2
UNI,57,344.852885,6.050050614035088,0.0,175.680776,-19.96002,43430.49,761.9384210526315,24.561403508771928,4
UNIBOT,4,325.055769,81.26394225,19.8200225,285.415724,0.0,2333.2599999999998,583.3149999999999,50.0,1
@37,13,298.859201,22.989169307692308,0.0,168.381001,-8.243875,1850.98,142.3830769230769,38.46153846153847,4
kSHIB,36,279.13726399999996,7.753812888888888,0.0,500.554796,-243.789081,83627.17,2322.9769444444446,33.33333333333333,4
SHIA,5,273.568643,54.7137286,5.76534,236.344933,0.0,1279.06,255.81199999999998,60.0,1
LDO,97,245.966969,2.5357419484536083,0.0,38.37682,-38.511462,30454.26,313.9614432989691,42.2680412371134,4
FET,49,229.1654,4.6768448979591835,0.0,49.3962,-2.213536,106291.12,2169.206530612245,44.89795918367347,2
